customer_id,name,phone,address,area,customer_type,first_purchase_date
33,Luke Tak,9507083673,"73, Kothari Zila",Dubhar,retail,
34,Naksh Dugal,9187946147,"78
Rai Street",Mau Bazar,retail,
35,Udant Kanda,9475767056,,Mau Bazar,painter,
36,Triya Bir,9365518424,,Rasra Road,contractor,
37,Omaja Kurian,9608482316,"H.No. 407, Barad Road",Civil Lines,retail,
38,Chatura Nagar,9375139575,"H.No. 99
Buch Zila",Sikandarpur,retail,
39,Max Mani,9871330207,"71/582
Sidhu Ganj",Kotwali,painter,
40,Manya Agate,9434961542,"77/37
Bora",Dubhar,contractor,
41,Atharv Mital,9867741192,"05/81, Wable Marg",Civil Lines,retail,
42,Darsh D’Alia,9929445037,"H.No. 17
Buch Marg",Sikta Mohalla,retail,
43,Orinder Gandhi,9707665448,"H.No. 24
Nadkarni Zila",Dubhar,contractor,
44,Darsh Bala,9174041730,"35/60
Mahal Street",Dubhar,contractor,
45,Yashawini Chander,9213321496,"H.No. 06, Dara Nagar",Reoti,painter,
46,Nathaniel Dada,9567600762,"02/073
Mittal Chowk",Kotwali,contractor,
47,Rachita Sha,9677858758,"842
Virk Nagar",Sikandarpur,contractor,
48,Yochana Pandey,9363598427,"68/41, Chatterjee Nagar",Reoti,retail,
49,Chandresh Dora,9598976917,"00/857, Bhavsar Ganj",Gai Ghat,retail,
50,Radhika Barman,9448981305,"29
Modi Marg",Kotwali,retail,
51,Hemangini Sami,9740116562,"95/704
Kota Nagar",Mau Bazar,retail,
52,Brijesh Deep,9305145276,"92
Bhandari Path",Reoti,retail,
53,Tripti Reddy,9358045858,"61/47
Toor Chowk",Reoti,contractor,
54,Ijaya Mukhopadhyay,9118514813,"H.No. 957
Issac Path",Civil Lines,retail,
55,Falguni Prabhakar,9496232693,"73/758
Dey Marg",Dubhar,contractor,
56,Lopa Comar,9690975123,"H.No. 71, Chana Path",Kotwali,painter,
57,Udant Nagy,9347538338,"08/806
Sandal Street",Sikta Mohalla,retail,
58,Eesha Parikh,9918394863,"67, Peri Zila",Reoti,contractor,
59,Jeremiah Kuruvilla,9733064117,"55, Apte",Kotwali,retail,
60,Zarna Dhillon,9994027897,"82, Karnik Marg",Rasra Road,painter,
61,Ira Peri,9860229059,"40/028
Brar Street",Mau Bazar,retail,
62,Qasim Pall,9848846217,"265, Sunder Marg",Reoti,contractor,
63,Kamala Nazareth,9113169872,"34, Mishra Ganj",Reoti,retail,
64,Vasudha Narasimhan,9155165334,"42, Jani",Sikta Mohalla,retail,
65,Praneel Batta,9530256336,"56/036, Saran Street",Mau Bazar,painter,
66,Eesha Tiwari,9970957171,"37/82
Karpe Path",Civil Lines,retail,
67,Eesha Majumdar,9920814900,"67/207, Rau Ganj",Sikandarpur,retail,
68,Vrishti Natt,9661107986,"H.No. 50, Sekhon",Kotwali,retail,
69,Rachita Verma,9560452529,"93/85
De Road",Sikandarpur,painter,
70,Aarna Bassi,9206551233,"H.No. 85, Das Path",Civil Lines,painter,
71,Vidhi Palla,9187174381,"58, Gopal Circle",Sikta Mohalla,retail,
72,Hemangini Pau,9538642403,"15/74, Sanghvi Chowk",Kotwali,retail,
73,Matthew Sundaram,9409350265,"H.No. 360
Rattan Ganj",Reoti,retail,
74,Qushi Lalla,9350636897,"H.No. 73, Sahni Marg",Sikandarpur,retail,
75,Vedika Prabhakar,9312406764,"H.No. 044, Mahal",Rasra Road,contractor,
76,Omkaar Amble,9176675731,"H.No. 402
Bobal Path",Sikandarpur,painter,
77,Lakshmi Bansal,9711181411,"723
Rama Path",Reoti,contractor,
78,Orinder Patel,9851333320,"19/300
Ram Nagar",Bansdih,contractor,
79,Wridesh Radhakrishnan,9186373782,"49/588, Rajan Marg",Gai Ghat,retail,
80,Bhavya Sodhi,9127772220,"H.No. 025, Warrior Ganj",Sikandarpur,contractor,
81,Mitesh Peri,9122275263,"67/347, Oak Nagar",Kotwali,contractor,
82,Girindra Ben,9919382051,"98
Rana Chowk",Reoti,contractor,
83,Anamika Konda,9294872482,"80, Samra Marg",Reoti,painter,
84,Odika Date,9604669821,"98/94, Lal Circle",Sikta Mohalla,painter,
85,Ojas Sharma,9454123990,"45/70, Bhakta",Dubhar,painter,
86,Isaiah Datta,9690661,"831
Parmer Chowk",Gai Ghat,painter,
87,Harrison Wali,9929517022,"H.No. 77, Rajan Ganj",Mau Bazar,retail,
88,Riya Ravi,9682605435,,Bansdih,contractor,
89,Chasmum Nayak,9912224654,"472, Pandya Road",Mau Bazar,retail,
90,Sai Vala,9689720101,"83/28
Raman Marg",Reoti,retail,
91,Amaira Yogi,9776481264,"H.No. 267
Mohanty Ganj",Rasra Road,retail,
92,Aadi Sarkar,9114682844,"392
Yohannan Nagar",Sikta Mohalla,retail,
93,Hemang Tiwari,9226128312,"H.No. 957, Sinha Street",Kotwali,retail,
94,Yahvi Bahl,9393587744,"H.No. 62
De Zila",Reoti,retail,
95,Samar Upadhyay,9691916368,"460
Pathak Marg",Sikandarpur,retail,
96,Dalbir Kata,9246574716,"73/258, Thakkar Path",Dubhar,contractor,
97,Shivansh Dey,9945805127,"778
Sane Zila",Kotwali,retail,
98,Frado Sood,9999232921,"25/098, Bir Nagar",Reoti,contractor,
99,Hamsini Kibe,9579476614,"H.No. 291
Som",Bansdih,painter,
100,Ikbal Choudhury,9505026213,"H.No. 43, Pradhan",Civil Lines,contractor,
101,Darpan Shan,9356415500,"222, Venkatesh Path",Dubhar,painter,
102,Mitesh Khare,9899621068,"H.No. 33, Gala Ganj",Dubhar,retail,
103,Anirudh Ben,9812630453,"19/06
Atwal Path",Rasra Road,retail,
104,Vincent Walla,9139749508,"98/48, Bava Circle",Gai Ghat,retail,
105,Mugdha Garde,9572775194,"H.No. 55, Dora Chowk",Mau Bazar,painter,
106,Krishna Parmar,9540211187,"266, Barad Street",Sikta Mohalla,contractor,
107,Krishna Kota,9384566044,"82, Khosla Circle",Sikta Mohalla,retail,
108,Abeer Anne,9824085842,"646
Bedi Zila",Gai Ghat,painter,
109,Pavani Pall,9915401487,"H.No. 904, Gera Road",Sikandarpur,contractor,
110,Gavin Shroff,9777703980,"21/42
Verma Path",Civil Lines,retail,
111,Gunbir Balasubramanian,9565973314,"H.No. 531
Wable Zila",Sikta Mohalla,contractor,
112,Aarush Naik,9845178074,,Gai Ghat,retail,
113,Ekta Garde,9415001254,"H.No. 82
Kapur Marg",Civil Lines,contractor,
114,Ijaya Shukla,9707660630,"52/602
Som Zila",Rasra Road,retail,
115,Megha Jayaraman,9510753814,"H.No. 14
Sahni Path",Sikandarpur,retail,
116,Hemal Mahajan,9595155950,"82, Dugal Chowk",Mau Bazar,retail,
117,Aradhana Sehgal,9599561877,"08, Mall Road",Rasra Road,painter,
118,Jeremiah Kalla,9471048258,"846
Vora Path",Dubhar,retail,
119,Sai Gupta,9590523712,"H.No. 085, Ramachandran Ganj",Dubhar,contractor,
120,Faqid Sodhi,9214518079,"09/31, Mand Chowk",Sikandarpur,painter,
121,Adya Mutti,9850845198,"430
Dara Zila",Dubhar,retail,
122,Diya Chowdhury,9707661655,"489, Dey Path",Mau Bazar,retail,
123,Kabir Maharaj,9900122509,"54
Chopra Nagar",Kotwali,painter,
124,Hardik Comar,9478301747,"75/071, Bahri Ganj",Kotwali,contractor,
125,Ekta Mani,9874090950,"66/639, Vohra Marg",Rasra Road,contractor,
126,Balhaar Goel,9773728014,"960, Gola Zila",Reoti,contractor,
127,Jack Koshy,9491766764,"90/851, Shetty Road",Kotwali,retail,
128,Upkaar Seshadri,9546143048,"30/15
Dhillon",Bansdih,retail,
129,Reyansh Baral,9492836532,"H.No. 642, Maharaj Zila",Rasra Road,painter,
130,Gaurang Rajagopalan,9985503942,"H.No. 763
Samra",Kotwali,retail,
131,Harini Loyal,9463692735,"95, Rau Chowk",Sikta Mohalla,contractor,
132,Parth Keer,9342251928,"306, Karan Marg",Dubhar,retail,
133,Sudiksha Kanda,9963919401,"360
Boase Chowk",Dubhar,painter,
134,Yasti Chander,9676140134,"81/79
Chatterjee Circle",Kotwali,retail,
135,Yatin Ganguly,9983063850,"H.No. 234, Hari Road",Civil Lines,contractor,
136,Zaid Khurana,9765233376,"H.No. 906, Mukherjee Nagar",Sikandarpur,retail,
137,Anay Wason,9167878777,"09/45, Swaminathan Chowk",Kotwali,retail,
138,Logan Mand,9225279834,"85/747
Dewan Chowk",Kotwali,contractor,
139,Yashoda Kakar,9224683417,"68, Devi Path",Rasra Road,painter,
140,Max Sharma,9498370582,"90/89, Dara Zila",Bansdih,retail,
141,Jeevika Boase,9897005281,"79, Tailor",Sikta Mohalla,retail,
142,Ansh Kalla,9761051532,"77/76, Patla Circle",Mau Bazar,painter,
143,Shivansh Sidhu,9577488537,"H.No. 67, Arya Circle",Sikta Mohalla,retail,
144,Chameli Bava,9494422907,"32/633
Nath Path",Gai Ghat,painter,
145,Kabir Bhatnagar,9396225446,"54/344
Varughese Circle",Reoti,retail,
146,Jhalak Ben,9327746886,"06/392
Ram Circle",Mau Bazar,retail,
147,Dakshesh Lad,9458102728,"02, Padmanabhan Path",Sikandarpur,retail,
148,Eesha Swamy,9991010113,"94/853, Mitra Path",Civil Lines,retail,
149,Kritika Parmar,9350180427,"H.No. 094
Padmanabhan Zila",Sikandarpur,painter,
150,Vinaya Kalla,9255357534,"24/492
Mutti Nagar",Rasra Road,retail,
151,Vidhi Wali,9127681228,"H.No. 68
Chaudhari",Civil Lines,retail,
152,Tejas Tiwari,9116944811,,Dubhar,contractor,
153,Wriddhish Oak,9900651998,"72/688
Buch Nagar",Gai Ghat,retail,
154,Kamala Seshadri,9217095851,"852, Bhasin Circle",Sikandarpur,retail,
155,Niharika Sethi,9940983577,"90/967, Buch Street",Kotwali,retail,
156,Faris Sagar,9133447745,"H.No. 31
Jayaraman Road",Dubhar,retail,
157,Vrinda Ben,9215923129,"40/730, Walia Marg",Sikta Mohalla,retail,
158,Alka Chaudhari,9445864933,,Kotwali,painter,
159,Rachit Lanka,9728530544,"H.No. 694
Varghese Ganj",Sikandarpur,contractor,
160,Gopal Balay,9587173220,"906
Srinivasan Street",Sikta Mohalla,retail,
161,Darpan Mishra,9798916441,"179, Iyer Nagar",Civil Lines,painter,
162,Zashil Ratti,9345343109,"H.No. 512, Lad Zila",Dubhar,retail,
163,Anita Sood,9202097643,"H.No. 114, Wadhwa Chowk",Kotwali,retail,
164,Zayan Acharya,9263894795,"H.No. 875, Tiwari Nagar",Sikta Mohalla,retail,
165,Frederick Sani,9200105056,"25/68
Venkataraman Zila",Gai Ghat,painter,
166,Upadhriti Srinivas,9729712082,"958, Dyal",Sikta Mohalla,contractor,
167,Chandani Thakkar,9814403943,"92
Kala Nagar",Mau Bazar,retail,
168,Dhriti Tiwari,9744685429,"45/12
Basak Chowk",Bansdih,painter,
169,Idika Palan,9805165232,"H.No. 88, Agrawal Marg",Gai Ghat,retail,
170,George Tata,9494665673,"H.No. 081
Nagi Zila",Civil Lines,painter,
171,Shivani Morar,9702332331,"H.No. 408
Pillay Circle",Sikandarpur,painter,
172,Omisha Mutti,969779476,"H.No. 32
Modi Marg",Kotwali,contractor,
173,Nisha Gopal,9393421844,"H.No. 37
Dubey Zila",Gai Ghat,retail,
174,Yadavi Prakash,9294782734,"H.No. 713, Sundaram Nagar",Dubhar,retail,
175,Warinder Dora,9895609471,,Bansdih,retail,
176,Ishanvi Barad,9550791704,"14/981, Palan Chowk",Kotwali,retail,
177,Bhavini Kala,9934120892,"889
Bhakta Circle",Mau Bazar,contractor,
178,Maya Tandon,9910069356,"613, Keer Chowk",Kotwali,retail,
179,Darika Bahri,9555282394,"08/453
Keer Path",Kotwali,retail,
180,Advay Bhatnagar,9650127661,"H.No. 19
Chahal Marg",Kotwali,retail,
181,Krisha Manne,9736873048,"66
Suresh Ganj",Mau Bazar,contractor,
182,Ishaan Deol,9743520276,"55, Narang Road",Civil Lines,retail,
183,Qadim Guha,9920511515,"60, Bhagat Chowk",Mau Bazar,contractor,
184,Rajata Tandon,9562412302,"H.No. 81
Bhatia Street",Civil Lines,retail,
185,Abha Agrawal,9994807263,"50/81
Bahri Chowk",Dubhar,retail,
186,Keya Tara,9145421708,"566
Sankaran Path",Sikta Mohalla,painter,
187,Udant Natt,9718216692,"735
Kar Road",Dubhar,painter,
188,Madhav Sane,95349001,"26
Rau Nagar",Sikandarpur,retail,
189,Hemangini Khalsa,9840463141,"H.No. 53, Merchant Ganj",Sikta Mohalla,retail,
190,Lila Kumar,9732295732,,Kotwali,retail,
191,Akshay Bandi,9337911187,"925, Shetty Marg",Bansdih,contractor,
192,Faqid Sibal,9669732591,"H.No. 24, Yadav Circle",Gai Ghat,contractor,
193,Hemang Kumer,9979339361,"74/818
Chakraborty Zila",Sikta Mohalla,retail,
194,Fitan Ghosh,9311818984,"507
Jani Path",Sikta Mohalla,retail,
195,Harrison Boase,9929839316,"H.No. 87, Hegde Chowk",Sikandarpur,retail,
196,George Mukherjee,9582008349,"77/57
Ghosh Marg",Sikandarpur,contractor,
197,Ayushman Kadakia,9773469560,"96/290, Kota Circle",Reoti,retail,
198,Ladli Sandal,9425150964,"H.No. 93
Dube",Gai Ghat,retail,
199,Hritik Kata,9433297890,,Gai Ghat,retail,
200,Yachana Khanna,9182389284,"31
Raman Circle",Sikta Mohalla,painter,
201,Hemal Karan,9723123952,"H.No. 69
Soni",Mau Bazar,retail,
202,Rayaan Mander,9969533218,"H.No. 650
Vora Ganj",Sikandarpur,retail,
203,Hemangini Kala,9261985842,"13
Sankaran Ganj",Gai Ghat,retail,
204,Gauri Dhingra,9190547712,"H.No. 205
Chand Marg",Civil Lines,painter,
205,Faris Ramakrishnan,9571825556,"H.No. 92, Deol Chowk",Gai Ghat,contractor,
206,Jasmit Vaidya,9403754671,"467
Goel",Sikandarpur,retail,
207,Krishna Vohra,9777409303,,Sikta Mohalla,retail,
208,Qasim Char,9515070154,"11, Bassi Chowk",Sikandarpur,contractor,
209,Vedant Buch,9457944766,"36/512, Raval Street",Gai Ghat,painter,
210,Watika Wagle,9804433388,"18/706
Thakkar Nagar",Sikandarpur,retail,
211,Ayushman Sharma,9190966348,"15/301
Guha",Gai Ghat,contractor,
212,Amara Buch,9819532005,"45/211
Bhandari Marg",Bansdih,painter,
213,Dipta Cherian,9819896690,"33, Pandya Road",Gai Ghat,retail,
214,Garima Goswami,9329987621,"560, Kadakia Circle",Civil Lines,retail,
215,Veer Kuruvilla,9247709679,"H.No. 26
Misra Path",Sikta Mohalla,retail,
216,Fitan Bansal,9679574436,"42/33
Saran Street",Mau Bazar,retail,
217,Yachana Goda,9922816526,"077, Krish Circle",Rasra Road,contractor,
218,Girik Boase,9992649957,"H.No. 260, Dixit Street",Rasra Road,retail,
219,Ishanvi Peri,9146914391,"755
Thaman",Civil Lines,contractor,
220,Fiyaz Sarkar,9755621841,"57
Buch Path",Reoti,painter,
221,Jonathan Choudhury,9356805216,"16/52, Puri Circle",Reoti,retail,
222,Max Mallick,9308323285,"24
Thakur Ganj",Reoti,painter,
223,Odika Wable,9402550088,"288, Sundaram Chowk",Dubhar,retail,
224,Tripti Goswami,9977130288,"H.No. 525, Raval Nagar",Kotwali,painter,
225,Ekantika Borah,9616030284,"061
Agrawal Zila",Sikta Mohalla,retail,
226,Hamsini Brahmbhatt,9653953485,"H.No. 343, Kannan Nagar",Rasra Road,contractor,
227,Hemang Goel,9651208305,"97, Krishnamurthy Road",Civil Lines,retail,
228,Lucky Deo,9475364113,"65/140
Hora Road",Dubhar,painter,
229,Vrishti Tripathi,9514642708,"H.No. 85, Dhawan Zila",Mau Bazar,retail,
230,Chandran Choudhary,9206389694,"51
Mahal Marg",Rasra Road,retail,
231,Vrinda Savant,9408034406,"33/463
Memon Marg",Rasra Road,retail,
232,Baljiwan Bora,9603703167,,Sikta Mohalla,contractor,
233,Udyati Dada,9331557515,"29
Nagar",Sikandarpur,retail,
234,Ishita Jani,9219385981,"55/32
Sarin Ganj",Sikta Mohalla,retail,
235,Jeevika Patla,9550784243,"58
Choudhury Road",Sikta Mohalla,retail,
236,Caleb Sethi,9636687537,,Bansdih,retail,
237,Vansha Pai,9871531100,"80/51
Ravi Nagar",Sikandarpur,contractor,
238,Xavier Rajagopal,9712745501,"80/205, Nath Ganj",Sikta Mohalla,retail,
239,Reyansh Sehgal,9487195336,"H.No. 44
Sarna Circle",Bansdih,retail,
240,Shaurya Morar,9645055605,"33/894
Banik Zila",Reoti,contractor,
241,Dhruv Gole,9515410649,"48/545, Behl Path",Mau Bazar,retail,
242,Wakeeta Pillai,9172541521,"H.No. 92, Upadhyay Circle",Sikta Mohalla,retail,
243,Ekta Pandya,9889401015,"74/075
Walla Ganj",Gai Ghat,contractor,
244,Theodore Barad,9973498494,"65/40, Borde Zila",Reoti,retail,
245,Triveni Anand,9613818935,"H.No. 33, Vasa Path",Sikta Mohalla,painter,
246,Matthew Loyal,9591429,,Civil Lines,contractor,
247,Chandran Lata,9438868427,"25
Sarna",Bansdih,painter,
248,Avni Konda,9139321248,"H.No. 80
Gopal Nagar",Gai Ghat,retail,
249,Ikbal Balakrishnan,9151329185,"16/962
Khurana Ganj",Sikta Mohalla,painter,
250,Dakshesh Nath,9569172971,"85/165
Nigam Path",Dubhar,contractor,
251,Jack Thakur,9300593456,"46/75, Doctor Ganj",Bansdih,retail,
252,Darpan Rama,9188703430,,Sikandarpur,retail,
253,Falak Goswami,9293763673,"49/98, Seth Path",Sikta Mohalla,painter,
254,Sara Deshmukh,9417440983,"74/209
Reddy Road",Dubhar,retail,
255,Damyanti Mangat,9576642996,,Gai Ghat,retail,
256,Saumya Ramaswamy,9567013808,"13/46, Barad Zila",Mau Bazar,contractor,
257,Sarthak Solanki,9536164913,"H.No. 343, Bala Road",Rasra Road,contractor,
258,Jhalak Guha,9253308283,"H.No. 383
Bahri Nagar",Reoti,painter,
259,Ekapad Doctor,9172191273,"04
Sinha Nagar",Gai Ghat,retail,
260,Vrinda Nadkarni,9709074,"H.No. 783, Sridhar Ganj",Gai Ghat,retail,
261,Joshua Pandey,9919355714,"49/410
Lalla Road",Gai Ghat,retail,
262,Yutika Sura,9797460535,"81, Swaminathan Circle",Mau Bazar,retail,
263,Ekavir Deo,9635844374,"H.No. 175, Khare Street",Sikta Mohalla,contractor,
264,Xavier Mane,9379484009,"98
Tailor Marg",Sikandarpur,retail,
265,Jatin Verma,9627422192,"80/666, Patla Circle",Sikta Mohalla,retail,
266,Isaac Kala,9865975088,"589, Golla",Gai Ghat,retail,
267,Nitesh Majumdar,9861863296,"H.No. 813, Agarwal",Kotwali,contractor,
268,Chandran Guha,9864299201,"78/779
Viswanathan Street",Rasra Road,painter,
269,Bhavika Basu,9646272321,"H.No. 69, Gaba Road",Rasra Road,contractor,
270,Girish More,963045201,"66
Naik Road",Reoti,retail,
271,Anay Sachdeva,9192573170,"449
Morar Marg",Reoti,contractor,
272,Anya Shankar,9925884151,"40, Gera Ganj",Rasra Road,retail,
273,Udarsh Gandhi,9789705810,"69/12, Mander Nagar",Bansdih,painter,
274,Arya Pathak,9990189659,"41/163, Ganesh Road",Rasra Road,retail,
275,Ansh Banerjee,9238548086,"679, Walla Zila",Mau Bazar,contractor,
276,Chanchal Ramakrishnan,9656307931,"85/898, Menon Road",Gai Ghat,painter,
277,Varenya Chaudhry,9342096876,"80, Balakrishnan Chowk",Kotwali,painter,
278,Janani Chowdhury,9369085407,"815
Yadav Path",Kotwali,painter,
279,Mitesh Lanka,9425155441,"43/60, Vig Road",Rasra Road,retail,
280,Pratyush Kamdar,9723464439,"36/315, Barman Path",Sikandarpur,contractor,
281,Pallavi More,9705180,"83/084, Sharaf Ganj",Sikandarpur,retail,
282,Neelima Narang,9326353775,"755
Murthy Ganj",Mau Bazar,retail,
283,Nihal Bava,9773412230,"61
Bhatia Zila",Kotwali,retail,
284,Vritti Doshi,9964027324,"64, Chander Ganj",Reoti,retail,
285,Barkha Batra,9164331134,"37/52
Buch Marg",Reoti,retail,
286,Rehaan Bobal,9751396498,"460
Jain Street",Gai Ghat,retail,
287,Dhruv Sunder,9240409084,"H.No. 56, Dave Ganj",Sikta Mohalla,painter,
288,Dhruv Chauhan,9600871106,"536
Mital Ganj",Rasra Road,retail,
289,Tara Din,9411612760,"19/12, Biswas Nagar",Dubhar,retail,
290,Panini Lata,9271476207,"25/500, Narula Chowk",Gai Ghat,retail,
291,Wahab Singhal,9271092615,"H.No. 95, Purohit Path",Reoti,retail,
292,Meera Bera,96340472,"H.No. 36
Mittal Road",Civil Lines,painter,
293,Reva Mohanty,94789182,"489
Vohra",Reoti,retail,
294,Jagvi Vaidya,9108780419,"H.No. 419, Bains",Kotwali,retail,
295,Shivansh Zacharia,9920184955,,Mau Bazar,contractor,
296,Gaurav Prabhu,9309009538,"H.No. 541, Lata",Dubhar,contractor,
297,Krish Dara,9920772671,"H.No. 772
Chaudhari Chowk",Sikandarpur,retail,
298,Vincent Guha,9227572362,"62/15
Shroff Marg",Gai Ghat,contractor,
299,Hemani Lalla,9464090064,"H.No. 58
Jain",Rasra Road,contractor,
300,Janaki Seth,9646666136,,Mau Bazar,retail,
301,Anthony Sahota,9457599735,"08, Boase Nagar",Rasra Road,retail,
302,Bina Mital,9653520069,"H.No. 288
Shukla Nagar",Gai Ghat,contractor,
303,Caleb Arya,9761962359,"72/83
Ben Path",Gai Ghat,retail,
304,Nirja Nayak,9647301347,"57/482, Sharma Chowk",Kotwali,retail,
305,Divya Raja,9117863798,"31/594, Pillay Marg",Dubhar,retail,
306,Nidhi Mukherjee,9955508961,"413
Kanda Path",Mau Bazar,contractor,
307,Ayushman Kapur,9385111130,"63/00
Tank Street",Sikandarpur,contractor,
308,Tanay Goswami,9874597473,"41/17
Bedi Ganj",Bansdih,contractor,
309,Ekaraj Contractor,9765436255,"357, Agrawal Ganj",Civil Lines,contractor,
310,Qasim Kohli,9852178601,,Gai Ghat,contractor,
311,Yashodhara Wable,9543412542,"570, Bir Ganj",Sikandarpur,retail,
312,Forum Acharya,9890099255,"81/74
Bhardwaj Ganj",Bansdih,painter,
313,Charvi Goyal,9449019278,"71/15, Kurian Path",Dubhar,retail,
314,Urvi Kaul,9285953213,"H.No. 05
Sami Road",Bansdih,retail,
315,Lila Wali,9928917719,"13/829, Som Ganj",Kotwali,retail,
316,Inaya Chander,9306442077,"04/84, Vohra Marg",Kotwali,contractor,
317,Qasim Peri,9419561201,"49/69
Hayre Zila",Reoti,retail,
318,Wahab Verma,9474524558,"50/37
Devi",Kotwali,retail,
319,Warhi Jayaraman,9715766024,"H.No. 942
Parikh",Dubhar,retail,
320,Siya Wason,9930071496,"974, Natt Chowk",Kotwali,painter,
321,Anjali Walla,9184857208,"573, Venkataraman Nagar",Kotwali,painter,
322,Patrick Dass,9329766590,"466, Sandhu Ganj",Bansdih,contractor,
323,Ronith Bhat,9761078179,"H.No. 884, Bhat Street",Mau Bazar,retail,
324,Advaith Sandal,9670201461,"14/36
Shanker Street",Sikta Mohalla,contractor,
325,Sara Kohli,9870257350,"49, Singh Chowk",Rasra Road,retail,
326,Pooja Sengupta,9690936560,"884
Jha Path",Reoti,retail,
327,Lajita Contractor,9314164216,"H.No. 350
Dhar Circle",Kotwali,retail,
328,Brijesh Bhattacharyya,9925412179,"18
Puri Chowk",Bansdih,contractor,
329,Gaurika Puri,9140048684,"62/140, Mutti Zila",Rasra Road,contractor,
330,Matthew Salvi,9139019611,"H.No. 576
Ramakrishnan Zila",Reoti,painter,
331,Nidra Nagar,9904236062,"424, Garde Zila",Mau Bazar,retail,
332,Aditya Saini,9709844411,"H.No. 64, Dugar Street",Gai Ghat,retail,
333,Nilima Pathak,9788603957,"67, Gour",Rasra Road,retail,
334,Timothy Dash,9602533479,"H.No. 756, Ram Marg",Gai Ghat,painter,
335,Alexander Divan,9592755658,"H.No. 043, Raj",Mau Bazar,retail,
336,Aarnav Karpe,9949080318,"791
Swamy Circle",Civil Lines,contractor,
337,Anay Ramachandran,9785826598,"H.No. 13, Deshpande Path",Bansdih,retail,
338,Daksha Walla,9530391423,"87/169
Varkey",Rasra Road,retail,
339,Upadhriti Bhattacharyya,93663385,"28/59
Desai Nagar",Kotwali,retail,
340,Janya De,9424211872,"H.No. 20, Lal Nagar",Kotwali,painter,
341,Dominic Goswami,9843854609,"61/48, Keer",Reoti,contractor,
342,Arunima Guha,9535312769,"55/54, Thaman",Kotwali,retail,
343,Arin Ravi,9416794215,"510
Goyal Nagar",Rasra Road,contractor,
344,Chatresh Arya,9588529624,"65/32, Vala",Dubhar,retail,
345,Ladli Bhardwaj,9605547798,"008
Gopal Path",Civil Lines,contractor,
346,Januja Sandhu,9830511568,"H.No. 718
Pingle Ganj",Sikta Mohalla,contractor,
347,Damini Chana,9667121569,,Sikandarpur,retail,
348,Ronith Sathe,9989889367,"10
Hayer Ganj",Sikandarpur,retail,
349,Rachana Khanna,9276670424,"90, Bali Marg",Sikta Mohalla,retail,
350,Bhavani Ratta,9869784803,"57
Kamdar Path",Bansdih,contractor,
351,Simon Talwar,9159738492,"89/434, Goyal",Reoti,retail,
352,Andrew Hans,9700003920,"02, Chahal Ganj",Mau Bazar,contractor,
353,Prisha Amble,9976659,"379, Chad Ganj",Mau Bazar,retail,
