customer_id,name,phone,address,area,customer_type,first_purchase_date,is_valid_phone,clv,purchase_frequency,recency,avg_basket_size,customer_segment,repeat_customer_flag
38,Chatura Nagar,9375139575,"H.No. 99
Buch Zila",Sikandarpur,retail,2024-04-08,1,2046.6799999999998,3.0,384,5335.09,Lost,1
39,Max Mani,9871330207,"71/582
Sidhu Ganj",Kotwali,painter,2024-10-10,1,243.79999999999998,6.0,70,1479.124383333333,Promising,1
40,Manya Agate,9434961542,"77/37
Bora",Dubhar,contractor,2023-07-05,1,4028.0299999999997,5.0,606,6957.68008,Lost,1
41,Atharv Mital,9867741192,"05/81, Wable Marg",Civil Lines,retail,2023-04-23,1,12977.039999999999,11.0,25,8930.225909090908,Champions,1
42,Darsh D’Alia,9929445037,"H.No. 17
Buch Marg",Sikta Mohalla,retail,2023-09-01,1,3129.5499999999997,5.0,432,5609.7108800000005,Lost,1
43,Orinder Gandhi,9707665448,"H.No. 24
Nadkarni Zila",Dubhar,contractor,2023-05-23,1,6205.18,6.0,70,5433.231166666667,Promising,1
44,Darsh Bala,9174041730,"35/60
Mahal Street",Dubhar,contractor,2023-11-10,1,8970.9,7.0,20,12301.583142857142,Loyal Customers,1
45,Yashawini Chander,9213321496,"H.No. 06, Dara Nagar",Reoti,painter,2023-06-10,1,33564.86,8.0,177,7375.935,Loyal Customers,1
46,Nathaniel Dada,9567600762,"02/073
Mittal Chowk",Kotwali,contractor,2023-04-14,1,8868.59,10.0,61,7451.033530000001,Champions,1
47,Rachita Sha,9677858758,"842
Virk Nagar",Sikandarpur,contractor,2023-10-19,1,11631.63,7.0,70,9215.176857142858,Loyal Customers,1
48,Yochana Pandey,9363598427,"68/41, Chatterjee Nagar",Reoti,retail,2023-10-16,1,3591.95,9.0,71,7043.661555555555,Loyal Customers,1
49,Chandresh Dora,9598976917,"00/857, Bhavsar Ganj",Gai Ghat,retail,2023-04-05,1,22240.91,13.0,14,8612.917915384616,Champions,1
50,Radhika Barman,9448981305,"29
Modi Marg",Kotwali,retail,2023-11-10,1,8245.93,7.0,103,8514.908457142858,Promising,1
51,Hemangini Sami,9740116562,"95/704
Kota Nagar",Mau Bazar,retail,2024-04-12,1,2440.02,3.0,398,8671.220833333333,Lost,1
52,Brijesh Deep,9305145276,"92
Bhandari Path",Reoti,retail,2024-02-01,1,19806.8,9.0,74,13166.7262,Champions,1
53,Tripti Reddy,9358045858,"61/47
Toor Chowk",Reoti,contractor,2024-09-12,1,5072.86,6.0,33,4836.149266666666,Promising,1
54,Ijaya Mukhopadhyay,9118514813,"H.No. 957
Issac Path",Civil Lines,retail,2023-11-06,1,4928.43,7.0,4,3614.525828571429,Promising,1
55,Falguni Prabhakar,9496232693,"73/758
Dey Marg",Dubhar,contractor,2025-03-18,1,16244.029999999999,8.0,3,14531.779999999999,Champions,1
56,Lopa Comar,9690975123,"H.No. 71, Chana Path",Kotwali,painter,2023-08-30,1,10637.79,8.0,70,7262.557575,Loyal Customers,1
57,Udant Nagy,9347538338,"08/806
Sandal Street",Sikta Mohalla,retail,2023-11-05,1,10984.18,3.0,524,18346.137333333336,Need Attention,1
58,Eesha Parikh,9918394863,"67, Peri Zila",Reoti,contractor,2023-10-12,1,2759.92,3.0,310,6267.563333333333,Lost,1
59,Jeremiah Kuruvilla,9733064117,"55, Apte",Kotwali,retail,2023-04-20,1,7306.32,5.0,84,6953.780000000001,Need Attention,1
60,Zarna Dhillon,9994027897,"82, Karnik Marg",Rasra Road,painter,2023-11-12,1,1351.6399999999999,3.0,213,2733.7746666666667,Lost,1
61,Ira Peri,9860229059,"40/028
Brar Street",Mau Bazar,retail,2023-12-08,1,21695.56,6.0,24,10828.0855,Champions,1
62,Qasim Pall,9848846217,"265, Sunder Marg",Reoti,contractor,2023-05-14,1,13252.36,8.0,85,12207.82815,Loyal Customers,1
63,Kamala Nazareth,9113169872,"34, Mishra Ganj",Reoti,retail,2023-11-26,1,7880.09,5.0,203,8229.6594,Need Attention,1
64,Vasudha Narasimhan,9155165334,"42, Jani",Sikta Mohalla,retail,2024-03-17,1,10984.11,7.0,247,9818.328599999999,Promising,1
65,Praneel Batta,9530256336,"56/036, Saran Street",Mau Bazar,painter,2023-04-10,1,10493.390000000001,6.0,76,10469.48525,Loyal Customers,1
66,Eesha Tiwari,9970957171,"37/82
Karpe Path",Civil Lines,retail,2023-11-13,1,6342.92,6.0,295,7932.16175,Need Attention,1
67,Eesha Majumdar,9920814900,"67/207, Rau Ganj",Sikandarpur,retail,2023-11-08,1,1036.26,5.0,158,2554.24332,Lost,1
68,Vrishti Natt,9661107986,"H.No. 50, Sekhon",Kotwali,retail,2023-05-27,1,8249.25,8.0,215,5194.51785,Promising,1
69,Rachita Verma,9560452529,"93/85
De Road",Sikandarpur,painter,2023-06-29,1,14521.95,10.0,59,9872.047419999999,Champions,1
70,Aarna Bassi,9206551233,"H.No. 85, Das Path",Civil Lines,painter,2024-04-15,1,10894.69,7.0,151,8130.092942857143,Promising,1
71,Vidhi Palla,9187174381,"58, Gopal Circle",Sikta Mohalla,retail,2023-10-15,1,16070.92,8.0,77,4466.877714285714,Champions,1
72,Hemangini Pau,9538642403,"15/74, Sanghvi Chowk",Kotwali,retail,2024-02-18,1,10406.91,9.0,127,10200.795955555555,Loyal Customers,1
73,Matthew Sundaram,9409350265,"H.No. 360
Rattan Ganj",Reoti,retail,2023-11-02,1,5397.13,6.0,69,5861.415416666667,Promising,1
74,Qushi Lalla,9350636897,"H.No. 73, Sahni Marg",Sikandarpur,retail,2023-09-15,1,8180.76,7.0,436,11422.538842857142,Promising,1
75,Vedika Prabhakar,9312406764,"H.No. 044, Mahal",Rasra Road,contractor,2023-05-07,1,8036.34,8.0,33,6105.569875,Loyal Customers,1
76,Omkaar Amble,9176675731,"H.No. 402
Bobal Path",Sikandarpur,painter,2023-05-26,1,2362.4,4.0,330,8366.4958,Lost,1
77,Lakshmi Bansal,9711181411,"723
Rama Path",Reoti,contractor,2023-05-21,1,7064.99,8.0,116,5897.5822,Promising,1
78,Orinder Patel,9851333320,"19/300
Ram Nagar",Bansdih,contractor,2023-05-17,1,2683.25,8.0,211,3240.83875,Need Attention,1
79,Wridesh Radhakrishnan,9186373782,"49/588, Rajan Marg",Gai Ghat,retail,2023-05-31,1,3952.5699999999997,2.0,919,12578.120599999998,Lost,1
80,Bhavya Sodhi,9127772220,"H.No. 025, Warrior Ganj",Sikandarpur,contractor,2023-04-15,1,11958.49,10.0,485,7835.464139999999,Loyal Customers,1
81,Mitesh Peri,9122275263,"67/347, Oak Nagar",Kotwali,contractor,2023-04-16,1,3239.1,4.0,119,7344.374275,Need Attention,1
82,Girindra Ben,9919382051,"98
Rana Chowk",Reoti,contractor,2024-01-06,1,7008.42,11.0,37,5389.686054545455,Champions,1
83,Anamika Konda,9294872482,"80, Samra Marg",Reoti,painter,2023-12-24,1,7466.62,6.0,262,9916.2569,Need Attention,1
84,Odika Date,9604669821,"98/94, Lal Circle",Sikta Mohalla,painter,2024-06-16,1,17231.67,5.0,137,6510.6239,Loyal Customers,1
85,Ojas Sharma,9454123990,"45/70, Bhakta",Dubhar,painter,2023-05-28,1,3175.4,7.0,235,1933.6457142857143,Need Attention,1
86,Isaiah Datta,9690661,"831
Parmer Chowk",Gai Ghat,painter,2023-06-19,0,10754.02,7.0,39,7288.545142857142,Loyal Customers,1
87,Harrison Wali,9929517022,"H.No. 77, Rajan Ganj",Mau Bazar,retail,2023-04-17,1,867.6800000000001,7.0,102,5102.9888,Promising,1
88,Riya Ravi,9682605435,Not Provided,Bansdih,contractor,2023-04-08,1,8461.48,7.0,96,9758.814100000001,Promising,1
89,Chasmum Nayak,9912224654,"472, Pandya Road",Mau Bazar,retail,2023-11-22,1,5490.61,7.0,4,5024.330857142857,Loyal Customers,1
90,Sai Vala,9689720101,"83/28
Raman Marg",Reoti,retail,2025-03-08,1,10471.67,6.0,137,8423.9066,Promising,1
91,Amaira Yogi,9776481264,"H.No. 267
Mohanty Ganj",Rasra Road,retail,2024-01-01,1,11511.37,12.0,13,6475.828341666667,Champions,1
92,Aadi Sarkar,9114682844,"392
Yohannan Nagar",Sikta Mohalla,retail,2023-06-24,1,12208.29,6.0,481,16352.62565,Promising,1
93,Hemang Tiwari,9226128312,"H.No. 957, Sinha Street",Kotwali,retail,2023-11-04,1,4860.89,6.0,194,3990.7201666666665,Need Attention,1
94,Yahvi Bahl,9393587744,"H.No. 62
De Zila",Reoti,retail,2024-02-24,1,15588.95,6.0,111,4099.9508399999995,Loyal Customers,1
95,Samar Upadhyay,9691916368,"460
Pathak Marg",Sikandarpur,retail,2024-10-05,1,17692.41,5.0,177,10037.268375,Promising,1
96,Dalbir Kata,9246574716,"73/258, Thakkar Path",Dubhar,contractor,2023-04-18,1,33977.8,15.0,73,12566.994042857143,Champions,1
97,Shivansh Dey,9945805127,"778
Sane Zila",Kotwali,retail,2023-04-30,1,7557.41,7.0,100,12353.805699999999,Loyal Customers,1
98,Frado Sood,9999232921,"25/098, Bir Nagar",Reoti,contractor,2023-10-15,1,10015.539999999999,8.0,61,7635.2023375,Loyal Customers,1
99,Hamsini Kibe,9579476614,"H.No. 291
Som",Bansdih,painter,2023-11-18,1,8015.93,6.0,41,7500.015,Loyal Customers,1
100,Ikbal Choudhury,9505026213,"H.No. 43, Pradhan",Civil Lines,contractor,2023-06-11,1,1352.52,9.0,32,1202.3029777777779,Loyal Customers,1
101,Darpan Shan,9356415500,"222, Venkatesh Path",Dubhar,painter,2024-05-07,1,2390.77,5.0,97,14521.495299999999,Promising,1
102,Mitesh Khare,9899621068,"H.No. 33, Gala Ganj",Dubhar,retail,2023-05-07,1,8324.24,8.0,13,7274.37785,Loyal Customers,1
103,Anirudh Ben,9812630453,"19/06
Atwal Path",Rasra Road,retail,2023-04-21,1,14007.89,7.0,69,12862.329785714286,Loyal Customers,1
104,Vincent Walla,9139749508,"98/48, Bava Circle",Gai Ghat,retail,2023-04-02,1,18420.74,9.0,157,10106.72361111111,Loyal Customers,1
105,Mugdha Garde,9572775194,"H.No. 55, Dora Chowk",Mau Bazar,painter,2023-10-17,1,16146.79,6.0,13,6780.80576,Champions,1
106,Krishna Parmar,9540211187,"266, Barad Street",Sikta Mohalla,contractor,2023-11-15,1,1680.9,6.0,136,3797.696933333333,Need Attention,1
107,Krishna Kota,9384566044,"82, Khosla Circle",Sikta Mohalla,retail,2023-04-01,1,7217.110000000001,9.0,256,9545.452611111112,Loyal Customers,1
108,Abeer Anne,9824085842,"646
Bedi Zila",Gai Ghat,painter,2023-07-03,1,10768.86,13.0,36,6567.976346153845,Champions,1
109,Pavani Pall,9915401487,"H.No. 904, Gera Road",Sikandarpur,contractor,2023-05-18,1,11932.17,12.0,31,9153.917875000001,Champions,1
110,Gavin Shroff,9777703980,"21/42
Verma Path",Civil Lines,retail,2023-04-02,1,8895.53,14.0,35,7844.578692857142,Champions,1
111,Gunbir Balasubramanian,9565973314,"H.No. 531
Wable Zila",Sikta Mohalla,contractor,2023-04-08,1,9914.96,11.0,271,10642.0112,Loyal Customers,1
112,Aarush Naik,9845178074,Not Provided,Gai Ghat,retail,2023-06-13,1,14739.35,6.0,101,13781.113599999999,Loyal Customers,1
113,Ekta Garde,9415001254,"H.No. 82
Kapur Marg",Civil Lines,contractor,2023-04-16,1,2662.79,5.0,374,8687.215199999999,Lost,1
114,Ijaya Shukla,9707660630,"52/602
Som Zila",Rasra Road,retail,2023-05-11,1,3862.78,5.0,211,6255.40588,Lost,1
115,Megha Jayaraman,9510753814,"H.No. 14
Sahni Path",Sikandarpur,retail,2023-11-06,1,3785.5800000000004,4.0,563,12695.764,Lost,1
116,Hemal Mahajan,9595155950,"82, Dugal Chowk",Mau Bazar,retail,2023-09-05,1,8805.31,10.0,34,5316.42234,Champions,1
117,Aradhana Sehgal,9599561877,"08, Mall Road",Rasra Road,painter,2023-11-29,1,9281.29,7.0,247,9055.164657142857,Promising,1
118,Jeremiah Kalla,9471048258,"846
Vora Path",Dubhar,retail,2023-10-16,1,12361.369999999999,11.0,226,9919.768790909091,Loyal Customers,1
119,Sai Gupta,9590523712,"H.No. 085, Ramachandran Ganj",Dubhar,contractor,2023-06-22,1,8697.19,10.0,26,7452.473059999999,Champions,1
120,Faqid Sodhi,9214518079,"09/31, Mand Chowk",Sikandarpur,painter,2023-05-07,1,2889.08,10.0,38,4451.59777,Loyal Customers,1
121,Adya Mutti,9850845198,"430
Dara Zila",Dubhar,retail,2024-03-03,1,8684.779999999999,6.0,202,7274.007700000001,Need Attention,1
122,Diya Chowdhury,9707661655,"489, Dey Path",Mau Bazar,retail,2023-07-09,1,19530.58,10.0,126,11090.326200000001,Champions,1
123,Kabir Maharaj,9900122509,"54
Chopra Nagar",Kotwali,painter,2023-04-20,1,16727.16,10.0,86,9984.265340000002,Loyal Customers,1
124,Hardik Comar,9478301747,"75/071, Bahri Ganj",Kotwali,contractor,2023-04-09,1,15562.619999999999,7.0,126,11439.709042857143,Loyal Customers,1
125,Ekta Mani,9874090950,"66/639, Vohra Marg",Rasra Road,contractor,2023-10-10,1,6113.55,6.0,43,6371.742366666666,Promising,1
126,Balhaar Goel,9773728014,"960, Gola Zila",Reoti,contractor,2024-05-10,1,13268.19,5.0,546,13402.85202,Need Attention,1
127,Jack Koshy,9491766764,"90/851, Shetty Road",Kotwali,retail,2023-11-07,1,17543.26,10.0,104,11080.96732,Champions,1
128,Upkaar Seshadri,9546143048,"30/15
Dhillon",Bansdih,retail,2025-03-11,1,3167.1200000000003,4.0,236,5520.1785500000005,Lost,1
129,Reyansh Baral,9492836532,"H.No. 642, Maharaj Zila",Rasra Road,painter,2023-09-20,1,16543.79,11.0,139,8310.949054545454,Champions,1
130,Gaurang Rajagopalan,9985503942,"H.No. 763
Samra",Kotwali,retail,2023-04-19,1,7407.8,7.0,31,9768.286714285714,Loyal Customers,1
131,Harini Loyal,9463692735,"95, Rau Chowk",Sikta Mohalla,contractor,2023-06-19,1,11578.74,7.0,32,12860.763214285715,Loyal Customers,1
132,Parth Keer,9342251928,"306, Karan Marg",Dubhar,retail,2023-07-16,1,34895.42,9.0,194,10838.487142857144,Loyal Customers,1
133,Sudiksha Kanda,9963919401,"360
Boase Chowk",Dubhar,painter,2023-04-23,1,1648.8799999999999,5.0,35,3226.4148399999995,Promising,1
134,Yasti Chander,9676140134,"81/79
Chatterjee Circle",Kotwali,retail,2023-08-16,1,23593.489999999998,9.0,111,7733.86125,Champions,1
135,Yatin Ganguly,9983063850,"H.No. 234, Hari Road",Civil Lines,contractor,2024-03-24,1,13486.080000000002,4.0,198,16345.773000000001,Need Attention,1
136,Zaid Khurana,9765233376,"H.No. 906, Mukherjee Nagar",Sikandarpur,retail,2024-10-13,1,5435.29,3.0,107,14920.4597,Need Attention,1
137,Anay Wason,9167878777,"09/45, Swaminathan Chowk",Kotwali,retail,2023-06-07,1,7193.450000000001,7.0,87,7239.3847428571435,Promising,1
138,Logan Mand,9225279834,"85/747
Dewan Chowk",Kotwali,contractor,2024-01-26,1,15580.85,8.0,102,10744.2677,Loyal Customers,1
139,Yashoda Kakar,9224683417,"68, Devi Path",Rasra Road,painter,2023-06-13,1,7704.52,5.0,236,8037.5581600000005,Need Attention,1
140,Max Sharma,9498370582,"90/89, Dara Zila",Bansdih,retail,2023-05-26,1,11914.1,11.0,93,9238.578763636364,Champions,1
141,Jeevika Boase,9897005281,"79, Tailor",Sikta Mohalla,retail,2024-09-17,1,14032.14,7.0,48,13827.493857142856,Loyal Customers,1
142,Ansh Kalla,9761051532,"77/76, Patla Circle",Mau Bazar,painter,2023-10-15,1,2713.11,5.0,266,6890.53848,Lost,1
143,Shivansh Sidhu,9577488537,"H.No. 67, Arya Circle",Sikta Mohalla,retail,2023-07-03,1,7012.57,8.0,97,4266.6875,Promising,1
144,Chameli Bava,9494422907,"32/633
Nath Path",Gai Ghat,painter,2023-06-14,1,13214.64,9.0,191,9067.487377777778,Loyal Customers,1
145,Kabir Bhatnagar,9396225446,"54/344
Varughese Circle",Reoti,retail,2023-10-19,1,10309.119999999999,10.0,313,7402.0240300000005,Loyal Customers,1
146,Jhalak Ben,9327746886,"06/392
Ram Circle",Mau Bazar,retail,2023-04-07,1,5878.37,5.0,259,9881.645120000001,Lost,1
147,Dakshesh Lad,9458102728,"02, Padmanabhan Path",Sikandarpur,retail,2023-04-15,1,10881.86,8.0,247,10713.3960125,Loyal Customers,1
148,Eesha Swamy,9991010113,"94/853, Mitra Path",Civil Lines,retail,2023-05-01,1,6778.39,7.0,104,8864.952857142856,Promising,1
149,Kritika Parmar,9350180427,"H.No. 094
Padmanabhan Zila",Sikandarpur,painter,2023-08-15,1,2383.45,5.0,286,6193.276519999999,Lost,1
150,Vinaya Kalla,9255357534,"24/492
Mutti Nagar",Rasra Road,retail,2023-10-17,1,3388.58,5.0,407,3407.1317000000004,Lost,1
151,Vidhi Wali,9127681228,"H.No. 68
Chaudhari",Civil Lines,retail,2023-04-07,1,4720.59,7.0,140,4451.175571428572,Need Attention,1
152,Tejas Tiwari,9116944811,Not Provided,Dubhar,contractor,2023-04-01,1,9094.63,6.0,246,15294.414499999999,Promising,1
153,Wriddhish Oak,9900651998,"72/688
Buch Nagar",Gai Ghat,retail,2023-07-14,1,8095.36,8.0,217,5092.80375,Promising,1
154,Kamala Seshadri,9217095851,"852, Bhasin Circle",Sikandarpur,retail,2023-05-24,1,14416.13,10.0,76,10278.78743,Champions,1
155,Niharika Sethi,9940983577,"90/967, Buch Street",Kotwali,retail,2023-04-22,1,9147.61,6.0,32,14176.301016666666,Loyal Customers,1
156,Faris Sagar,9133447745,"H.No. 31
Jayaraman Road",Dubhar,retail,2023-05-01,1,289.7099999999999,5.0,258,5451.113200000001,Lost,1
157,Vrinda Ben,9215923129,"40/730, Walia Marg",Sikta Mohalla,retail,2023-05-16,1,5254.11,4.0,251,7497.5773,Lost,1
158,Alka Chaudhari,9445864933,Not Provided,Kotwali,painter,2023-08-06,1,5019.53,8.0,135,3202.98025,Promising,1
159,Rachit Lanka,9728530544,"H.No. 694
Varghese Ganj",Sikandarpur,contractor,2024-07-15,1,6449.11,5.0,15,6212.17412,Promising,1
160,Gopal Balay,9587173220,"906
Srinivasan Street",Sikta Mohalla,retail,2023-04-24,1,15334.98,11.0,7,7879.791736363637,Champions,1
161,Darpan Mishra,9798916441,"179, Iyer Nagar",Civil Lines,painter,2023-06-12,1,4299.94,5.0,421,10750.685399999998,Need Attention,1
162,Zashil Ratti,9345343109,"H.No. 512, Lad Zila",Dubhar,retail,2023-09-21,1,6261.97,6.0,709,6348.682133333333,Need Attention,1
163,Anita Sood,9202097643,"H.No. 114, Wadhwa Chowk",Kotwali,retail,2023-05-16,1,7958.83,7.0,85,7351.647,Promising,1
164,Zayan Acharya,9263894795,"H.No. 875, Tiwari Nagar",Sikta Mohalla,retail,2023-05-11,1,31797.32,13.0,69,8236.30285,Champions,1
165,Frederick Sani,9200105056,"25/68
Venkataraman Zila",Gai Ghat,painter,2023-04-28,1,15195.29,7.0,407,3915.4843333333333,Promising,1
166,Upadhriti Srinivas,9729712082,"958, Dyal",Sikta Mohalla,contractor,2023-04-30,1,7500.0,9.0,100,7469.146577777778,Loyal Customers,1
167,Chandani Thakkar,9814403943,"92
Kala Nagar",Mau Bazar,retail,2023-05-15,1,9470.970000000001,6.0,114,7425.395,Promising,1
168,Dhriti Tiwari,9744685429,"45/12
Basak Chowk",Bansdih,painter,2023-05-16,1,814.99,6.0,278,2746.4821333333334,Lost,1
169,Idika Palan,9805165232,"H.No. 88, Agrawal Marg",Gai Ghat,retail,2023-04-19,1,18708.98,8.0,64,6124.222928571428,Champions,1
170,George Tata,9494665673,"H.No. 081
Nagi Zila",Civil Lines,painter,2023-07-23,1,3727.88,8.0,20,2009.86745,Loyal Customers,1
171,Shivani Morar,9702332331,"H.No. 408
Pillay Circle",Sikandarpur,painter,2023-08-07,1,19958.78,9.0,40,6266.5398375,Champions,1
172,Omisha Mutti,969779476,"H.No. 32
Modi Marg",Kotwali,contractor,2023-12-31,0,5077.06,7.0,58,5945.754999999999,Promising,1
173,Nisha Gopal,9393421844,"H.No. 37
Dubey Zila",Gai Ghat,retail,2023-05-02,1,11462.289999999999,9.0,391,6968.462744444445,Promising,1
174,Yadavi Prakash,9294782734,"H.No. 713, Sundaram Nagar",Dubhar,retail,2023-04-20,1,34196.28,8.0,92,14623.221857142857,Loyal Customers,1
175,Warinder Dora,9895609471,Not Provided,Bansdih,retail,2023-04-25,1,17394.39,8.0,223,3533.307642857143,Loyal Customers,1
176,Ishanvi Barad,9550791704,"14/981, Palan Chowk",Kotwali,retail,2023-07-12,1,3735.1400000000003,6.0,62,4944.882316666667,Promising,1
177,Bhavini Kala,9934120892,"889
Bhakta Circle",Mau Bazar,contractor,2025-03-03,1,6099.3,4.0,293,7308.651025,Lost,1
178,Maya Tandon,9910069356,"613, Keer Chowk",Kotwali,retail,2023-04-02,1,20090.41,6.0,186,9600.81216,Loyal Customers,1
179,Darika Bahri,9555282394,"08/453
Keer Path",Kotwali,retail,2025-05-12,1,999.5,3.0,121,2675.9379999999996,Need Attention,1
180,Advay Bhatnagar,9650127661,"H.No. 19
Chahal Marg",Kotwali,retail,2023-04-26,1,2803.72,2.0,400,17128.0545,Lost,1
181,Krisha Manne,9736873048,"66
Suresh Ganj",Mau Bazar,contractor,2023-11-15,1,494.90000000000003,3.0,476,1367.2703666666669,Lost,1
182,Ishaan Deol,9743520276,"55, Narang Road",Civil Lines,retail,2023-04-21,1,24091.16,7.0,117,16850.57277142857,Loyal Customers,1
183,Qadim Guha,9920511515,"60, Bhagat Chowk",Mau Bazar,contractor,2024-01-27,1,3833.43,7.0,94,4673.062857142857,Need Attention,1
184,Rajata Tandon,9562412302,"H.No. 81
Bhatia Street",Civil Lines,retail,2023-04-26,1,17416.9,8.0,84,6174.815214285714,Loyal Customers,1
185,Abha Agrawal,9994807263,"50/81
Bahri Chowk",Dubhar,retail,2023-11-05,1,2823.86,7.0,254,4327.334242857143,Lost,1
186,Keya Tara,9145421708,"566
Sankaran Path",Sikta Mohalla,painter,2023-07-10,1,16523.059999999998,11.0,52,9536.474281818182,Champions,1
